The table below is a cross-reference of creature animation files (BAMs) to sound clips
(WAVCs) and their tables (2DAs). A table generally exists only if more than one animation
does not share the same prefix. The Code is the hexadecimal number that designates the
animation in the creature file (CRE). The Archive is the Infinity Animations archive on
shsforums.net that contains the animations and/or sounds. If an archive isn't listed, the
animation should be in Baldur's Gate II by default.

If a 2DA does not exist, the installer assigns the sounds directly on the affected
creature files. Generally speaking, numbers after the prefix in sound files indicate
the following slots, though there are numerous exceptions.

01     BATTLE_CRY
02     SELECT
03-06  ATTACK
07-08  DAMAGE
09-10  DYING

AnimPrefix  2DA?  Code    Animation                     SndPrefix     Archive
arat        N     0xc300  rat                           rat           -
asqu        Y     0xc400  squirrel                      rabbit        -
avul        N     0xd200  vulture                       -             -
cdfb        N     0x6314  thief_female_gnome            -             -
cdmb        N     0x6002  cleric_male_dwarf             -             -
cdmb        N     0x6004  cleric_male_gnome             -             -
cdmb        N     0x6012  cleric_female_dwarf           -             -
cdmb        N     0x6102  fighter_male_dwarf            -             -
cdmb        N     0x6104  fighter_male_gnome            -             -
cdmb        N     0x6112  fighter_female_dwarf          -             -
cdmb        N     0x6302  thief_male_dwarf              -             -
cdmb        N     0x6304  thief_male_gnome              -             -
cdmb        N     0x6312  thief_female_dwarf            -             -
cdmw        N     0x6202  mage_male_dwarf               -             -
cdmw        N     0x6204  mage_male_gnome               -             -
cdmw        N     0x6212  mage_female_dwarf             -             -
cdmw        N     0x6214  mage_female_gnome             -             -
cefb        N     0x6011  cleric_female_elf             -             -
cefb        N     0x6111  fighter_female_elf            -             -
cefb        N     0x6311  thief_female_elf              -             -
cefw        N     0x6211  mage_female_elf               -             -
cemb        N     0x6001  cleric_male_elf               -             -
cemb        N     0x6101  fighter_male_elf              -             -
cemb        N     0x6301  thief_male_elf                -             -
cemw        N     0x6201  mage_male_elf                 -             -
chfb        N     0x6010  cleric_female_human           -             -
chfb        N     0x6015  cleric_female_halforc         -             -
chfb        N     0x6110  fighter_female_human          -             -
chfb        N     0x6115  fighter_female_halforc        -             -
chfb        N     0x6310  thief_female_human            -             -
chfb        N     0x6315  thief_female_halforc          -             -
chfm        N     0x6510  monk_female_human             -             -
chfw        N     0x6210  mage_female_human             -             -
chfw        N     0x6215  mage_female_halforc           -             -
chmb        N     0x6000  cleric_male_human             -             -
chmb        N     0x6005  cleric_male_halforc           -             -
chmb        N     0x6100  fighter_male_human            -             -
chmb        N     0x6105  fighter_male_halforc          -             -
chmb        N     0x6300  thief_male_human              -             -
chmb        N     0x6305  thief_male_halforc            -             -
chmm        N     0x6500  monk_male_human               -             -
chmw        N     0x6200  mage_male_human               -             -
chmw        N     0x6205  mage_male_halforc             -             -
cifb        N     0x6013  cleric_female_halfling        -             -
cifb        N     0x6014  cleric_female_gnome           -             -
cifb        N     0x6113  fighter_female_halfling       -             -
cifb        N     0x6114  fighter_female_gnome          -             -
cifb        N     0x6313  thief_female_halfling         -             -
cimb        N     0x6003  cleric_male_halfling          -             -
cimb        N     0x6103  fighter_male_halfling         -             -
cimb        N     0x6303  thief_male_halfling           -             -
cmnk        N     0x6402  monk                          -             -
glph        N     0x0410  trap_glyph                    -             -
grea        N     0x0700  grease_travel                 -             -
grea        N     0x0710  grease_static                 -             -
ldmf        N     0x4600  sleeping_dwarf                -             -
leff        N     0x4710  sleeping_woman_elf            -             -
lemf        N     0x4700  sleeping_man_elf              -             -
lfam        N     0x4500  sleeping_fat_man_human        -             -
lhfc        N     0x4410  sleeping_woman_human          -             -
lhmc        N     0x4400  sleeping_man_human            -             -
limc        N     0x4800  sleeping_man_halfling         -             -
mair        Y     0x7320  elemental_air                 airel         -
mais        Y     0x7321  elemental_air_small           airsm         -
makh        Y     0x3000  ankheg                        ankhg         -
masl        Y     0x7f3c  deva_monadic                  solarf        -
mbas        Y     0x7100  basilisk                      basil         IA_Base_Anims
mbas2       Y     0x7101  basilisk_greater              gbasi         IA_Base_Anims
mbbm        Y     0xe220  beetle_bombardier             t-bmb         IA_Base_Anims
mbeh        Y     0x7f02  beholder                      bhold         -
mber        Y     0x7201  bear_brown                    rbear         -
mber2       Y     0x7203  bear_polar                    pbear         -
mber3       Y     0x7202  bear_cave                     cbear         -
mber4       Y     0x7200  bear_black                    bbear         -
mbes        Y     0x7f15  beholder_small                behols        -
mbet        Y     0xe200  beetle_boring                 t-btl         IA_Base_Anims
mbfi        Y     0xe210  beetle_fire                   t-bmb         IA_Base_Anims
mbrh        Y     0xe230  beetle_rhinoceros             t-rhi         IA_Base_Anims
mcar        Y     0xa100  carrion_crawler               carrn         -
mcor        Y     0xe0e0  cornugon                      cornu         -
mcyc        Y     0xe000  cyclops                       t-cyc         IA_Base_Anims
mdem        Y     0x1300  demogorgon                    demo          -
mdgu        Y     0x6405  doom_guard                    t-dgu         -
mdgu        Y     0x6406  doom_guard_larger             t-dgu         -
mdji        Y     0x7f05  djinni                        djinni        -
mdjl        Y     0x7f06  djinni_legs                   djinni        -
mdkn        Y     0x2300  death_knight                  tanar         -
mdli        Y     0x7f0e  demilich                      dlich         -
mdoc        N     0x7f34  mdk2_doctor                   -             -
mdog        Y     0x7400  dog_wild                      widog         -
mdog        Y     0x7402  dog_moon                      widog         -
mdog2       Y     0x7401  dog_war                       wadog         -
mdop        Y     0x7500  doppleganger                  doppl         -
mdop2       Y     0x7501  doppleganger_greater          gdopp         -
mdr1        Y     0x1200  dragon_red                    red           -
mdr1_aq     Y     0x1204  dragon_aqua                   red           -
mdr1_bl     Y     0x1205  dragon_blue                   red           -
mdr1_br     Y     0x1206  dragon_brown                  red           -
mdr1_gr     Y     0x1203  dragon_green                  red           -
mdr1_mc     Y     0x1207  dragon_multicolor             red           -
mdr1_pu     Y     0x1208  dragon_purple                 red           -
mdr2        Y     0x1201  dragon_black                  black         -
mdr3        Y     0x1202  dragon_silver                 silv          -
mdro        N     0x7f27  drow                          -             -
mdsw        Y     0x7f19  dancing_sword                 sword         -
meae        Y     0x7300  elemental_earth               earth         -
meae        Y     0x7302  shambling_mound               earth         -
meas        Y     0x7301  elemental_earth_small         earths        -
metn        Y     0xe010  ettin                         ettin         -
mett        Y     0x7600  ettercap                      etter         -
meye        N     0x7f38  wizard_eye                    -             -
mfdr        N     0x7f29  drow_female                   -             -
mfie        Y     0x7310  elemental_fire                firee         -
mfie        Y     0x7312  elemental_fire_purple         firee         -
mfie        Y     0x7314  burning_man                   firee         -
mfig        Y     0x7f3e  giant_fire                    gfire         -
mfig        Y     0x7f3f  giant_yaga-shura              gfire         -
mfis        Y     0x7311  elemental_fire_small          firee         -
mfis        Y     0x7313  elemental_fire_small_purple   firee         -
mgcl        Y     0x7f0b  greatcat_leopard              leopa         -
mgcp        Y     0x7f0a  greatcat_panther              panth         -
mgh2        Y     0xe310  ghoul_greater                 ghoul         IA_Base_Anims
mgh3        Y     0xe320  ghast_greater                 t-ght         IA_Base_Anims
mghl        Y     0x7700  ghoul                         ghoul         -
mghl        Y     0x7701  revenant                      ghoul         -
mghl2       Y     0x7702  ghast                         ghast         -
mgho        Y     0xe300  ghost                         t-ghs         IA_Base_Anims
mgib        Y     0x7800  gibberling                    giber         -
mgic        Y     0xe0f0  golem_ice                     icegol        -
mgit        Y     0x7f14  githyanki                     githy         -
mgla        Y     0xe0f1  glabrezu                      glabr         -
mglc        Y     0x7f07  golem_clay                    clayg         -
mgnl        Y     0x8000  gnoll                         gnoll         -
mgo1        Y     0xe400  goblin_axe                    gobaxe        -
mgo2        Y     0xe410  goblin_bow                    gobaxe        -
mgo3        Y     0xe420  goblin_elite_axe              t-gex         IA_BG2_Restores
mgo4        Y     0xe430  goblin_elite_bow              t-geb         IA_BG2_Restores
mgwe        Y     0x7e01  werewolf_greater              wereg_        -
mhis        Y     0xe040  histachii                     t-his         IA_Base_Anims
mhob        Y     0x8100  hobgoblin                     hobgl         -
migo        Y     0x7f04  golem_iron                    iron          -
mimp        Y     0x7f03  imp                           imppp         -
mkob        Y     0x8200  kobold                        kobld         -
mkul        Y     0x7f28  kuo-toa_large                 kuoto         -
mkuo        Y     0x7f0c  kuo-toa                       kuoto         -
mkur        N     0x7f33  mdk2_kurt                     -             -
mler        Y     0xe050  lich_black                    lerel         IA_BG2_Restores
mli2        Y     0xe510  lizard_man                    lizon         -
mli3        Y     0xe520  lizard_king                   t-lzk         IA_Base_Anims
mlic        Y     0x7f0d  lich                          lichh         IA_BG2_Restores
mlic        Y     0xe060  lich_white                    lichh         -
mliz        Y     0xe500  lizard_man_elite              lizon         -
mmax        N     0x7f2b  mdk2_max                      -             -
mmel        Y     0x7f3d  melissan                      melis         -
mmin        Y     0x7f01  mindflayer                    mindf         -
mmta        N     0xe070  minotaur                      t-min         IA_Core
mmis        Y     0x7f35  mist_creature                 mist          -
mmst        Y     0x7f39  blob_mist_creature            mist          -
mmum        Y     0xe080  mummy                         mummy         -
mmy2        Y     0xe610  myconid_blue                  mycon         IA_BG2_Restores
mmyc        Y     0xe600  myconid_red                   mycon         -
mno1        Y     0xe700  orog                          orog          IA_BG2_Restores
mno2        Y     0xe710  orog_elite                    orog          IA_BG2_Restores
mno3        Y     0xe720  orog_chieftain                orogc         -
mogh        Y     0x7000  half_ogre                     hogre         -
mogm        Y     0x2200  ogre_mage                     ogrem         -
mogn        Y     0x7001  ogrillon                      ogril         -
mogr        Y     0x9000  ogre                          ogree         -
mor1        Y     0xe800  orc_melee                     orcaxe        -
mor2        Y     0xe810  orc_range                     orcbw         -
mor3        Y     0xe820  orc_elite_melee               orcaxe        IA_BG2_Restores
mor4        Y     0xe830  orc_elite_range               orcbw         -
mor5        Y     0xe840  orc_shaman                    orcsh         -
moty        Y     0x7f08  otyugh                        otyug         -
mrak        Y     0x7f10  rakshasa                      raksh         -
mrav        Y     0x7f2e  raver                         raver         -
msa2        Y     0xe910  salamander_frost              salam         -
msah        Y     0x7f09  sahuagin                      sahsm         -
msal        Y     0xe900  salamander_fire               salam         -
msat        Y     0x7f23  sahuagin_large                sahua         -
msh1        Y     0xea10  shadow_small                  t-shs         IA_Base_Anims
msh2        Y     0xea20  shadow_large                  t-shl         IA_Base_Anims
mshd        Y     0x7703  shadow                        shadow        -
mshr        Y     0xea00  shrieker                      shrie         -
msir        Y     0x2000  sirine                        sirin         -
mska        Y     0xeb10  skeleton_warrior              skela         -
mskb        Y     0xeb20  skeleton_fiend                boneg         -
mskl        Y     0x6403  skeleton                      skelt         -
mskt        Y     0xeb00  skeleton_monster              skela         -
mslm        Y     0x7904  gray_ooze                     gooze         -
mslm2       Y     0x7900  slime_green                   gslim         -
mslm3       Y     0x7901  slime_olive                   olive         -
mslm4       Y     0x7902  slime_mustard                 mustr         -
mslm5       Y     0x7903  slime_ochre                   ochre         -
msly        Y     0x7f32  slayer                        slay          -
msnk        Y     0x7f13  snake                         snake         -
msol        Y     0x7f3b  solar                         solarg        -
mspi        Y     0x7a00  spider_giant                  gspid         -
mspi        Y     0x7a01  spider_huge                   hspid         -
mspi        Y     0x7a02  spider_phase                  pspid         -
mspi        Y     0x7a03  spider_sword                  sspid         -
mspi        Y     0x7a04  spider_wraith                 wspid         -
mspl        N     0x4300  static_spider_woman           centl         IA_BG2_Restores
msps        Y     0x7f2f  spider_small                  smspid        -
mtan        Y     0x1100  tanarri                       tanar         IA_BG2_Restores
mtan        N     0xe090  marilith                      snake/unearf  IA_BG2_Restores
mtas        Y     0x7c01  kobold_tasloi                 taslo         IA_Base_Anims
mtic        Y     0xe0a0  troll_ice                     t-ict         IA_Base_Anims
mtro        Y     0x7f00  troll                         troll         -
mtro        Y     0xe0b0  troll_blue                    troll         -
mtrs        Y     0x7f0f  troll_small                   icetr         -
mtsn        Y     0xe0c0  troll_snow                    t-tsn         IA_Base_Anims
mumb        Y     0x7f11  umber_hulk                    umber         -
mumb        Y     0xe0d0  umber_hulk_elder              umber         -
mvaf        Y     0x7f22  vampire_female                vampf         -
mvam        Y     0x7f12  vampire                       vampp         -
mwav        Y     0xe0f2  wailing_virgin                virgin        -
mwer        Y     0x7e00  werewolf                      wereg_        -
mwfm        Y     0x7f2d  wyvern_familiar               pseudo        -
mwi2        Y     0xec10  wight_green                   t-wgr         IA_Base_Anims
mwi3        Y     0xec20  wight_yellow                  t-wgy         IA_Base_Anims
mwig        Y     0xec00  wight_gray                    wight         -
mwlf        Y     0x7b00  wolf                          dwolf         -
mwlf        Y     0x7b01  wolf_worg                     dwolf         -
mwlf        Y     0x7b02  wolf_dire                     dwolf         -
mwlf2       Y     0x7b03  wolf_winter                   wwolf         -
mwlf3       Y     0x7b05  wolf_dread                    rwolf         -
mwlf4       Y     0x7b04  wolf_vampiric                 vwolf         -
mwls        Y     0x7b06  wolf_shadow                   dwolf         -
mwwe        Y     0xef10  water_weird                   t-wei         IA_Core ==> IA_Base_Anims
mwyv        Y     0x1000  wyvern_big                    wyver         -
mwyv        Y     0xa000  wyvern                        wyver         -
mxvt        Y     0x7c00  kobold_xvart                  xvart         -
myu1        Y     0xed00  yuan-ti                       yanti         -
myu2        Y     0xed10  yuan-ti_elite                 yanel         -
myu3        Y     0xed20  yuan-ti_priest                yanpr         -
mzo2        Y     0xee00  zombie_yellow                 t-zow         IA_Base_Anims
mzo3        Y     0xee10  zombie_blue                   t-zow         IA_Base_Anims
mzom        Y     0x7d00  zombie                        zombi         -
nbeg        N     0xb200  static_beggar_man             -             -
nbeg        N     0xc600  beggar_man                    -             -
nboh        N     0x7f30  bodhi                         bodhix        -
nboy        N     0xb300  static_boy                    -             -
nboy        N     0xc700  boy                           -             -
nell        N     0x7f31  ellesime                      ellesi        -
nfam        N     0xb400  static_fat_man                -             -
nfam        N     0xc800  fat_man                       -             -
nfaw        N     0xb410  static_fat_woman              -             -
nfaw        N     0xc810  fat_woman                     -             -
ngrl        N     0xb310  static_girl                   -             -
ngrl        N     0xc710  girl                          -             -
nire        N     0x7f37  jon_irenicus                  irenic        -
niro        N     0x7f3a  irenicus_robed                irenic        -
nnom        N     0xb600  static_noble_man              -             -
nnom        N     0xca00  noble_man                     -             -
nnow        N     0xb610  static_noble_woman            -             -
nnow        N     0xca10  noble_woman                   -             -
npir        N     0x7f24  pirate                        -             -
npro        N     0xb210  static_harlot_woman           -             -
npro        N     0xc610  harlot_woman                  -             -
nsai        N     0x7f2a  sailor_man                    -             -
nshd        N     0x7f36  shadow_thief                  -             -
nsim        N     0xb500  static_peasant_man            -             -
nsim        N     0xc900  peasant_man                   -             -
nsiw        N     0xb510  static_peasant_woman          -             -
nsiw        N     0xc910  peasant_woman                 -             -
nslv        N     0xb700  static_slave                  -             -
nslv        N     0xcb00  slave                         -             -
nsol        N     0x7f2c  amnian_soldier                -             -
shmc        N     0x4200  static_humancleric_man_chair  -             -
sklh        N     0x0400  trap_skull                    -             -
snom        N     0x4000  static_noble_man_chair        -             -
snom        N     0x4002  static_noble_man_matte        -             -
snow        N     0x4010  static_noble_woman_chair      -             -
snow        N     0x4012  static_noble_woman_matte      -             -
spbl        N     0x0200  exploding_arm                 -             -
spbl        N     0x0210  exploding_head                -             -
spbl        N     0x0220  exploding_foot                -             -
spbl        N     0x0230  exploding_torso               -             -
spbl        N     0x0240  exploding_leg                 -             -
spch        N     0x0100  chunks                        -             -
spfl        N     0x0001  fire_ring_bright              -             -
spri        N     0x0000  fire_ring                     -             -
spsm        N     0x0300  smoke_puff_large              -             -
spsm        N     0x0301  smoke_puff_small              -             -
ssim        N     0x4100  static_peasant_man_chair      -             -
ssim        N     0x4101  static_peasant_man_stool      -             -
ssim        N     0x4102  static_peasant_man_matte      -             -
ssiw        N     0x4110  static_peasant_woman_chair    -             -
ssiw        N     0x4112  static_peasant_woman_matte    -             -
stnk        N     0x0500  cloud_travel                  -             -
stnk        N     0x0510  cloud_static                  -             -
stnk        N     0x0600  storm_travel                  -             -
